original_title,overview,genre names,keywords
thor,father odins mighty thor powerful arrogant warrior god recklessly reignites ancient war thor cast earth forced live humans punishment thor learns takes true hero dangerous villain world sends darkest forces asgard invade earth,adventure fantasy action,mexico banishment shield marvel comic hammer superhero based comic book redemption norse mythology aftercreditsstinger marvel cinematic universe 3d asgard odin heimdall
bolt,bolt star biggest hollywood real hes accidentally shipped york city separated penny beloved costar owner bolt harness super powers home,animation family adventure comedy,hamster kids family animal cat vs dog duringcreditsstinger dog cat friendship animal lead girl dog relationship
g-force,team trained secret agent animals guinea pigs darwin juarez blaster mole speckles fly mooch takes mission government stop evil leonard saber plans destroy world household appliances government shuts sentenced pet shop escape defeat villain save world,fantasy action adventure family comedy,dyr duringcreditsstinger
wrath of the titans,decade heroic defeat monstrous kraken perseusthe demigod son zeusis attempting live quieter life village fisherman sole parent 10year son helius meanwhile struggle supremacy rages gods titans dangerously weakened humanitys lack devotion gods losing control imprisoned titans ferocious leader kronos father longruling brothers zeus hades poseidon,adventure,underworld hades mythology greek mythology zeus perseus gods ancient greece based greek myth ares 3d
dark shadows,vampire barnabas collins inadvertently freed tomb emerges changed world 1972 returns collinwood manor oncegrand estate family fallen ruin,comedy fantasy,witch imprisonment vampire curse fish water chains gothic madness house lost love angry mob 18th century ghost hidden mansion
mission: impossible - rogue nation,ethan team impossible mission eradicating syndicate international rogue organization highly skilled committed destroying imf,action adventure thriller,london england spy austria villain sequel mission conspiracy vienna opera vienna
the wolfman,lawrence talbot american visit victorian london amends estranged father bitten werewolf moonlight transformation leaves savage hunger flesh,drama horror thriller,father son relationship victorian england remake rural setting werewolf
bee movie,barry benson bee graduated college disillusioned lone career choice honey special trip outside hive barrys life saved vanessa florist york city relationship blossoms discovers humans actually eat honey subsequently decides sue,family animation adventure comedy,factory worker tennis flower florist flower shop pilot college airplane beehive court aftercreditsstinger
kung fu panda 2,po living dream dragon warrior protecting valley peace alongside friends fellow kung fu masters furious five tigress crane mantis viper monkey poâs life awesomeness threatened emergence formidable villain plans secret unstoppable weapon conquer china destroy kung fu po furious five journey china threat vanquish po stop weapon stop kung fu look past uncover secrets mysterious origins able unlock strength succeed,animation family,martial arts hope fleet panda mission woman director
the last airbender,story follows adventures aang successor line avatars childhood aside stop fire nation enslaving water earth air nations,action adventure family fantasy,fire ice war ship prince kingdom water village arrest remake attack avatar air spirit world domination cheering
mission: impossible iii,retired active duty train imf agents ethan hunt called action confront sadistic arms dealer owen davian hunt try protect girlfriend team complete mission,adventure action thriller,berlin cia vatican white house secret identity secret explosive mobile phone map traitor mask honeymoon shanghai pretended murder secret mission letter funeral covered investigation shoot dead secret agent video stamp hard drive email decipherment suitcase computer revenge murder mission hospital duel disguise celebration bad research laboratory blast
white house down,capitol policeman john cale denied dream job secret service protecting president james sawyer little girl news takes tour white house complex overtaken heavily armed paramilitary nations government falling chaos time running cale save president daughter country,action drama thriller,usa president conspiracy secret service white house
mars needs moms,martians suddenly abduct mom mischievous milo rushes rescue discovers moms special,adventure animation family,boy alien rescue martian alien abduction alien invasion based childrens book duringcreditsstinger
flushed away,london highsociety mouse roddy flushed toilet sid common sewer rat hang madcap adventure deep sewer bowels ratropolis roddy meets resourceful rita rodenthating toad faithful thugs spike whitey,adventure animation comedy family,london england underworld return ship frog girlfriend rubin
pan,living bleak existence london orphanage 12yearold peter whisked fantastical world neverland adventure awaits meets friend james hook warrior tiger lily band save neverland ruthless pirate blackbeard rebellious mischievous boy discovers true destiny becoming hero forever peter pan,adventure family fantasy,flying magic fairy tale peter pan mermaid pirate fantasy world
mr. peabody & sherman,boy dog happens geniuslevel iq spring action timetravel machine stolen moments history begin changed,animation adventure family,father son relationship egypt intelligence adoption time travel boy child prodigy friendship growing children talking animal talking dog dog love ancient egypt time traveler duringcreditsstinger school george washington gags trouble time paradox prodigy
troy,1250 bc late bronze age emerging nations begin clash paris trojan prince convinces helen queen sparta leave husband menelaus sail troy menelaus wife trojans brother agamemnom help agamemnon opportunity power set 1000 ships holding 50000 greeks troy help achilles greeks able fight defeated trojans,adventure drama war,brother brother relationship adultery mythology beauty trojan war bravery wall fraud hostility epic sword fight battlefield ancient world pyre ancient greece trojan horse trojan bronze age sparta greece helen troy homers iliad
madagascar 3: europe's most wanted,alex marty gloria melman trying apple beloved central park zoo penguins travel monte carlo attract attention animal control gate crashing party joined penguins king julian co monkeys lion zebra hippo giraffe penguins monkeys lemurs travel europe attracting attention york join traveling circus attempts york consistently hampered captain animal control alex collection york marty alex gloria melman realize traveling circus,animation family,madagascar 3d
die another day,bond takes north korean leader undergoes dna replacement procedures allow assume identities american agent jinx johnson assists bond attempt thwart villains plans exploit satellite powered solar energy,adventure action thriller,laser british secret service secret service agent space based weapon
ghostbusters,following ghost invasion manhattan paranormal enthusiasts erin gilbert abby yates nuclear engineer jillian holtzmann subway worker patty tolan band stop otherworldly threat,action fantasy comedy,female friendship ghost hunting reboot ghost
armageddon,asteroid threatens collide earth nasa honcho dan truman determines stop drill surface detonate nuclear bomb leads renowned driller harry stamper agrees helm dangerous space mission provided bring own hotshot crew cocksure aj harry isnt daughter mission proves otherwise,action thriller science fiction adventure,saving world paris moon cataclysm asteroid self sacrifice nasa space marine loss father daughter space wedding astronaut eiffel tower paris duringcreditsstinger disaster movie space centre
men in black ii,kay jay reunite provide line defense sinister seductress levels toughest challenge mibs untarnished mission statement â protecting earth scum universe alienseeking agents averted intergalactic disaster epic proportions race clock jay convince kay â absolutely memory time spent mib living person left expertise save galaxy â reunite mib earth submits ultimate destruction,action adventure comedy science fiction,saving world secret identity sun glasses undercover space marine illegal immigration deportation identity flying saucer light firearm alien fictional government agency
beowulf,6thcentury scandinavian warrior beowulf embarks mission slay manlike ogre grendel descendant cain,adventure action animation,denmark nordic mythology lie pride vanity folk hero human weakness viking alienation festival hall sin royalty curse battle ancient world adult animation motion capture
kung fu panda 3,continuing legendary adventures awesomeness po hugely epic threats supernatural little closer home,action adventure animation comedy family,china martial arts kung fu village panda sequel talking animal anthropomorphism dragon ancient china wuxia woman director
mission: impossible - ghost protocol,4th installment mission impossible series ethan hunt cruise team racing time track dangerous terrorist named hendricks nyqvist gained access russian nuclear launch codes planning strike united attempt stop explosion causing severe destruction kremlin imf implicated bombing forcing president disavow aided government ethan team chase hendricks globe late stop disaster,action thriller adventure,fight sequel mission explosion broken arm imax nuclear threat
rise of the guardians,evil spirit pitch lays gauntlet world immortal guardians join forces time protect hopes beliefs imagination children world,fantasy animation family,dream santa claus nightmare easter bunny tooth fairy jack frost sandman duringcreditsstinger
fun with dick and jane,dick harper loses job globodyne enronesque collapse wife jane crime handle massive debt intelligent people dick jane actually pretty robbing people enjoy theyre reminded crime hurt innocent people couple hears globodyne boss jack mccallister actually swindled company plot revenge,comedy,based novel desperation robber holdup robbery remake suburbia loss job humiliation unemployment bankruptcy travel agent riches rags bearer bonds comeuppance
the last samurai,nathan algren american hired instruct japanese army modern warfare learning respect samurai honorable principles rule pressed destroy samurais life name modernization trade algren decides ultimate warrior fight exist,drama action war history,japan war crimes sense guilt swordplay samurai war veteran katana sword arms deal homeland emperor language barrier selfdiscovery mountain village foreign legion mercenary campaign commercial agreement insurgence leader war strategy gettysburg loss husband slaughter soldier alcoholic soldier japanese army 19th century war trauma
exodus: gods and kings,defiant leader moses rises egyptian pharaoh ramses setting 400000 slaves monumental journey escape egypt terrifying cycle deadly plagues,adventure drama action,moses bible ancient egypt 3d ramses
star trek,fate galaxy rests hands bitter rivals james kirk delinquent thrillseeking iowa farm boy spock vulcan raised logicbased society rejects emotion fiery instinct clashes calm reason unlikely powerful partnership capable leading crew unimaginable danger boldly gone human adventure begun,science fiction action adventure,spacecraft teleportation space mission parachute time travel black hole supernova prequel warp speed futuristic warp engine romulans outer space vulcan alternate reality space opera reboot
spider-man,bitten genetically altered spider nerdy school student peter parker endowed amazing powers,fantasy action,loss lover spider thanksgiving bad boss hostility marvel comic superhero pokies evil reference superman goblin
how to train your dragon 2,thrilling chapter epic train dragon trilogy brings fantastical world hiccup toothless five astrid snotlout rest gang challenging dragon races islands favorite contact sport inseparable pair journey skies charting unmapped territories exploring worlds adventures leads discovery secret ice cave home hundreds wild dragons mysterious dragon rider friends themselves center battle protect peace,fantasy action adventure animation comedy family,father son relationship wife husband relationship sacrifice viking sequel rescue dragon mother son relationship death husband warrior 3d
gods of egypt,common thief joins mythical god quest egypt,fantasy,egypt underworld fight mythology nile war thief rescue desert gods egyptian mythology egyptian myth
stealth,deeply ensconced topsecret military program pilots struggle bring artificial intelligence program control initiates world war,action,artificial intelligence navy aftercreditsstinger
watchmen,gritty alternate 1985 glory days costumed vigilantes brought close government crackdown masked veterans brutally murdered investigation killer initiated reunited heroes set prevent own destruction doing uncover sinister plot humanity grave danger,action mystery science fiction,dc comics secret identity mass murder retirement based comic book conspiracy nuclear war doomsday soviet masked vigilante doomsday clock red square death superhero american president 1980s
lethal weapon 4,combustible action franchises final installment maverick detectives martin riggs roger murtaugh square asian mobster wah sing ku whos neck slave trading counterfeit currency help gumshoe leo getz smartaleck rookie cop lee butters riggs murtaugh aim ku gang,action adventure comedy crime thriller,lapd house fire revolver
hulk,bruce banner genetics researcher tragic past suffers massive radiation exposure laboratory causes transform raging green monster angry,drama action science fiction,california san francisco monster gun dna mutation psychology berkeley transformation frog president marvel comic superhero golden gate bridge doctor fear scientist dog desert anger mirror phone military cell hulk superhuman strength repressed memory repression
g.i. joe: retaliation,framed crimes country gi joe team terminated presidential forces gi joes fighting mortal enemy cobra forced contend threats government jeopardize existence,adventure action science fiction thriller,terror assassin secret technology missile warhead president rescue conspiracy explosion battle surveillance cobra
sahara,scouring ocean depths treasureladen shipwrecks business usual thrillseeking underwater adventurer wisecracking buddy cross paths beautiful doctor themselves ultimate treasure hunt,action adventure comedy drama mystery,tyrant ironclad ship
final fantasy: the spirits within,led strange dream scientist aki ross struggles collect eight spirits hope creating force powerful protect planet aid deep eyes squadron mentor dr sid aki save earth darkest hate unleash spirits,adventure action animation fantasy science fiction thriller,battle assignment dystopia alien downfall scientist based video game
captain america: the first avenger,predominantly set world war ii steve rogers sickly brooklyn whos transformed supersoldier captain america aid war effort rogers stop red skull â adolf hitlers ruthless head weaponry leader organization intends mysterious device untold powers world domination,action adventure science fiction,york usa world war ii nazis marvel comic superhero based comic book nazi germany period drama brooklyn york city captain america aftercreditsstinger marvel cinematic universe 3d
the world is not enough,greed revenge world dominance hightech terrorism â days bond whos mission protect beautiful oil heiress notorious terrorist race time culminates dramatic submarine showdown bond defuse international power struggle worlds oil supply hanging balance,adventure action thriller,british mission oil heiress bilbao spain british secret service
master and commander: the far side of the world,abrupt violent encounter french warship inflicts severe damage ship captain british royal navy begins chase oceans capture destroy enemy weigh commitment duty ferocious pursuit glory safety devoted crew including ships thoughtful surgeon friend,adventure,naturalist frigate self surgery sea battle weevil
the twilight saga: breaking dawn - part 2,birth renesmee cullens gather vampire clans protect child false allegation family front volturi,adventure fantasy drama romance,vampire romance villainess super strength imprinting cross breed bloodsucker grudge vampire vs vampire chief police dhampir forks washington wolf pack misinformation seeing future fang vamp
happy feet two,mumble penguin son erik reluctant dance encounters mighty sven penguin fly worse mumble world shaken powerful forces causing brings penguin nations allies set,animation comedy family,penguin musical aftercreditsstinger 3d
the incredible hulk,scientist bruce banner scours planet antidote unbridled force rage hulk military masterminds dream exploiting powers force civilization coming deadly foe,science fiction action adventure,york rio de janeiro marvel comic superhero based comic book run fugitive super soldier tony stark virginia military hulk marvel cinematic universe angry bruce banner
the bfg,bfg ordinary bonecrunching giant nice jumbly lucky sophie carried middle night bloodbottler giantsârather bfgâshe soon breakfast sophie hears giants flushbunking england swollomp nice little chiddlers decides stop bfg help,adventure family fantasy,london england england based novel queen little girl orphan cannibal giant evil brother
the revenant,1820s frontiersman hugh glass sets path vengeance left dead bear mauling,western drama adventure thriller,father son relationship rape based novel mountains winter grizzly bear wilderness frontier revenge murder native american survival bear snow violence animal death bear attack death son based true events fur trapper
turbo,tale ordinary garden snail dreams winning indy 500,animation family,underdog car race dream speed power snail fast friends superpower racer
rango,rango lost family pet accidentally winds gritty gunslinging town dirt lessthancourageous lizard suddenly stands welcomed hope town waiting sheriff rango forced play role hilt,animation comedy family western adventure,sheriff nevada pet rango chameleon las vegas cactus terrarium construction site armadillo disillusionment
penguins of madagascar,skipper kowalski rico private join forces undercover organization north wind stop villainous dr octavius brine destroying world,family animation adventure comedy,penguin madagascar 3d
the bourne ultimatum,bourne brought hiding reporter simon ross trying unveil operation blackbriar upgrade project treadstone series newspaper columns information reporter stirs set memories bourne finally uncover dark past dodging companys efforts eradicate,action drama mystery thriller,paris corruption madrid assassin based novel europe prosecution dangerous false identity revelation government weapon interpol sequel conspiracy shootout espionage motorcycle violence foot chase moskow dark past langley virginia flashback chase roof security leak
kung fu panda,valley peace threatened lazy po panda discovers destiny chosen trains kung fu hero transforming unsleek slacker brave warrior wont easy master shifu furious five tigress crane mantis viper monkey try,adventure animation family comedy,china martial arts kung fu mentor snake restaurant shop strong woman bravery tiger turtle panda sensei anthropomorphism fighting ancient china monkey master destiny evil aftercreditsstinger monkey warrior noodle
ant-man,armed astonishing ability shrink scale increase strength master thief scott lang embrace innerhero help mentor doctor hank pym protect secret spectacular antman suit generation towering threats seemingly insurmountable obstacles pym lang plan pull heist save world,science fiction action adventure,marvel comic superhero based comic book aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d
the hunger games: catching fire,katniss everdeen returned home safe winning 74th annual hunger games fellow tribute peeta mellark winning means leave family close friends embarking victors tour districts katniss senses rebellion simmering capitol control president snow prepares 75th annual hunger games quarter quell competition change panem forever,adventure action science fiction,competition based novel mentor secret factory television propaganda future dystopia alliance games president uprising sequel murder survival conspiracy rebellion blood female protagonist tournament explosion danger imax winner based adult novel
home,earth overlyconfident boov alien race search call home humans promptly relocated boov busy reorganizing planet resourceful girl tip manages avoid capture accidental accomplice banished boov named oh fugitives realize thereâs lot stake intergalactic relations embark road trip lifetime,fantasy comedy animation science fiction family,friendship spaceship space alien alien invasion alien friendship awful leader taking resposibility
war of the worlds,ray ferrier divorced dockworker lessthanperfect father soon exwife husband drop teenage son daughter rare weekend visit strange powerful lightning storm touches,adventure thriller science fiction,post traumatic stress disorder jersey airplane dystopia daughter apocalypse alien invasion human subjugation
bad boys ii,outofcontrol trashtalking buddy cops marcus burnett mike lowrey miami narcotics task force reunite bullets fly cars crash laughs explode pursue whackedout drug lord streets miami barrios cuba real fireworks result marcus discovers playboy mike secretly romancing marcusâ sexy sister,adventure action comedy thriller crime,miami ku klux klan cuba undercover mexican standoff ecstasy guantã¡namo slaughter shootout gunfight bromance gangster violence foot chase interrogation car chase drug lord exploding house narcotics cop illegal drugs dea agent buddy cop criminal underworld action hero haitian gang minefield
puss in boots,met shrek notorious fighter lover outlaw puss boots hero sets adventure tough street smart kitty softpaws mastermind humpty dumpty save town true story cat myth legend boots,action adventure animation family fantasy,adventure fairytale figure
salt,cia officer evelyn salt swore oath duty honor country loyalty tested defector accuses russian spy salt goes run using skills experience covert operative elude capture salts efforts prove innocence serve cast doubt motives hunt uncover truth identity continues question remains salt,action mystery thriller,assassination spy cia kidnapping cold war soviet union double agent race time revenge run shootout espionage female protagonist hitwoman terrorism violence russian spy intelligence officer action heroine
noah,suffers visions apocalyptic deluge takes measures protect family coming flood,drama adventure,bible god noah 3d
the adventures of tintin,intrepid reporter tintin loyal dog snowy thrust world adventure discover ship carrying explosive secret tintin drawn centuriesold mystery ivan ivanovitch sakharine suspects stealing priceless treasure tintin snowy help salty cantankerous captain haddock bumbling detectives thompson amp thomson travel half world step ahead enemies tintin endeavors unicorn sunken ship hold vast fortune ancient curse,adventure animation mystery,riddle captain treasure liquor treasure hunt sunken treasure plot reporter 3d action
harry potter and the prisoner of azkaban,harry ron hermione return hogwarts magicfilled harry comes danger time form escaped convict sirius black â sympathetic professor lupin help,adventure fantasy family,flying traitor magic cutting cord child hero broom sorcerers apprentice school witchcraft griffon black magic time travel friend werewolf dark muggle aftercreditsstinger
australia,set northern australia world war ii english aristocrat inherits sprawling ranch reluctantly pacts stockman protect property takeover plot pair drive 2000 head cattle unforgiving landscape experience bombing darwin australia japanese forces firsthand,drama,missionary world war ii ranch australia british racist cattle drive aftercreditsstinger stampede waltzing matilda trampled death
after earth,thousand cataclysmic events forced humanitys escape earth nova prime mankinds home legendary cypher raige returns extended tour duty estranged family ready father 13yearold son kitai asteroid storm damages cypher kitais craft crashland unfamiliar dangerous earth father lies dying cockpit kitai trek hostile terrain recover rescue beacon life kitai soldier father chance,science fiction action adventure,dystopia
dinosaur,orphaned dinosaur raised lemurs joins arduous trek sancturary meteorite shower destroys family home,animation family,cataclysm asteroid leader comet animation prehistoric prehistoric egg dinosaur nesting grounds prehistoric creature prehistoric adventure lemur prehistoric times
night at the museum: secret of the tomb,magic powers tablet ahkmenrah begin die larry daley ben stiller spans globe uniting favorite characters embarking epic quest save magic gone forever,adventure comedy fantasy family,night watchman museum natural history history smithsonian
megamind,bumbling supervillain megamind finally defeats nemesis superhero metro hero loses purpose meaning life,animation action comedy family science fiction,saving world date prison secret identity fish gun dna mayor anti hero rain museum onesided love serum talking animal reporter duringcreditsstinger stronger villain
harry potter and the philosopher's stone,harry potter lived stairs aunt uncles house life 11th birthday learns hes powerful wizard waiting hogwarts school witchcraft wizardry learns harness newfound powers help schools kindly headmaster harry uncovers truth parents deaths villain whos blame,adventure fantasy family,witch christmas party magic cutting cord halloween child hero broom chosen frog fantasy world based adult novel
r.i.p.d.,recently slain cop joins team undead police officers rest peace department tries murdered based comic peter lenkov,fantasy action comedy crime,gold police operation partner revenge undead ghost police department
pirates of the caribbean: the curse of the black pearl,jack sparrow freewheeling 17thcentury pirate roams caribbean sea butts heads rival pirate bent pillaging village port royal governors daughter kidnapped sparrow decides help girls love save seafaring mission hardly simple,adventure fantasy action,exotic island blacksmith east india trading company gold marriage proposal mutiny jamaica skeleton daughter governor wooden eye gold coin pirate alcoholic swashbuckler caribbean aftercreditsstinger pirate ship capuchin monkey tortuga
the hunger games: mockingjay - part 1,katniss everdeen reluctantly symbol mass rebellion autocratic capitol,science fiction adventure thriller,resistance postapocalyptic dystopia war sequel female protagonist bow arrow game future war revolt class prejudice human subjugation based adult novel
the da vinci code,curator louvre found murdered famed museums hallowed halls harvard professor robert langdon cryptographer sophie neve untangle deadly web deceit involving leonardo da vinci,thriller mystery,paris holy grail christianity monk based novel zurich secret society louvre curator symbologist opus dei heresy mona lisa freemason conspiracy pentagram tomb catholicism cryptologist iconography albino sect
rio 2,jungle blu jewel kids theyre hurtled rio de janeiro wilds amazon blu tries fit goes beaktobeak vengeful nigel meets fearsome adversary fatherinlaw,animation adventure comedy family,bird sequel jungle audition amazon rainforest parrots
x2,professor charles xavier team genetically gifted superheroes rising tide antimutant sentiment led col william stryker storm wolverine jean grey join usual nemeses â magneto mystique â unhinge strykers scheme exterminate mutants,adventure action science fiction thriller,mutant marvel comic superhero based comic book superhuman
fast five,former cop brian oconner partners excon dom toretto opposite law brian mia toretto broke dom custody theyve blown borders elude authorities corner rio de janeiro pull job gain freedom,action thriller crime,brazil fbi freedom escape prison car crash heist organized crime run money fugitive police chase escaped convict car imax automobile racing duringcreditsstinger
sherlock holmes: a game of shadows,criminal mastermind professor moriarty holmesâ intellectual equal capacity evil lack conscience advantage detective,adventure action crime mystery,detective inspector steampunk criminal mastermind
clash of the titans,born god raised perseus helpless save family hades vengeful god underworld lose perseus volunteers lead dangerous mission defeat hades seize power zeus unleash hell earth battling unholy demons fearsome beasts perseus warriors survive perseus accepts power god defies fate creates own destiny,adventure fantasy action,hades mythology greek mythology zeus medusa mythological beast sea monster perseus kraken gods ancient greece based greek myth 3d
total recall,construction worker douglas quaid discovers memory chip brain virtualreality trip past invented conceal plot planetary domination soon hes mars planted chip,action adventure science fiction,oxygen falsely accused resistance mars double life telepathy mutant hologram space colony false identity secret agent dystopia cyberpunk false memory implanted memory
the 13th warrior,ad 922 arab courtier ahmad ibn fadlan accompanies party vikings barbaric north combat terror slaughters vikings devours flesh,adventure fantasy action,witch cave arabian scandinavia bagdad viking iraq war mission
the bourne legacy,cia operative aaron cross experiences lifeordeath stakes triggered previous actions jason bourne,action thriller,assassin wolf maryland suicide gunshot rooftop exploding house laptop tracking device fake id seoul south korea pharmaceutical lab government conspiracy roof chase manila philippines hunted false passport alberta canada lieutenant
batman & robin,crimefighting partner robin recruit batgirl batman battles dual threat frosty genius freeze homicidal horticulturalist poison ivy freeze plans gotham city ice ivy tries drive wedge dynamic duo,action crime fantasy,double life dc comics dual identity crime fighter fictional gotham city superhero credit card super powers
how the grinch stole christmas,inside snowflake exists magical land whoville whoville live whos mutated sort munchkinlike people whos love christmas outside beloved whoville lives grinch grinch nasty creature hates christmas plots steal whos whom equally abhors child cindy lou decides try befriending grinch,family comedy fantasy,holiday christmas party love santa claus village kids family
the day after tomorrow,increases greenhouse effect havoc wreaked globally form catastrophic hurricanes tornadoes tidal waves floods beginning ice age paleoclimatologist jack hall tries warn world shepherding safety son trapped york city overwhelmed start freeze,action adventure science fiction thriller,saving world library cataclysm climate change greenhouse effect tornado twister hurricane hail temperature drop ice age polar zone meteorology gulfstream barrier ice ice melting third world exodus evacuation climate government snow los angeles scientist doomsday antarctic disaster movie
mission: impossible ii,computer genius luther stickell beautiful thief mind agent ethan hunt races australia spain stop former imf agent unleashing genetically engineered biological weapon called chimera mission hunt choose accept plunges center international crisis terrifying magnitude,adventure action thriller,terror spain cia helicopter secret identity skyscraper undercover island exlover secret mission dying death secret agent computer duel lethal virus violence rescue team agent car research laboratory
the perfect storm,october 1991 confluence weather conditions combined form killer storm north atlantic caught storm swordfishing boat andrea gail magnificent foreshadowing anticipation fill truelife drama minute details fishing boats gear weather juxtaposed sea adventure,drama,air force grocery jamaican meteorologist rescue boat marina city hall flemish cap male camaraderie storm sea
4: rise of the silver surfer,fantastic return screen powerful enemy threatens earth seemingly unstoppable silver surfer enemies pose threat intrepid superheroes realize,adventure fantasy action thriller,fire helicopter surfboard mask satellite airplane transformation forest resurrection marvel comic sequel superhero based comic book outer space wedding explosion scientist interrogation double cross fantastic military earth peril superhuman strength duringcreditsstinger invisibility silver surfer forcefield elasticity absorbing power
life of pi,story indian boy named pi zookeepers son company hyena zebra orangutan bengal tiger shipwreck sets adrift pacific ocean,adventure drama action,ocean shipwreck hindu tiger faith zookeeper teenage boy cargo ship lifeboat injured animal
ghost rider,save dying father stunt cyclist johnny blaze sells soul mephistopheles sadly purehearted roxanne simpson love life johnnys path crosses roxanne gogetting reporter mephistopheles offers release johnnys soul johnny fabled fiery ghost rider,thriller action fantasy horror,mephisto religion supernatural dying death devils son ghost world stunts flame based comic book
jason bourne,dangerous former operative cia drawn hiding uncover hidden truths past,action thriller,assassin amnesia flashback
charlie's angels: full throttle,angels charged finding pair missing rings encoded personal information witness protection program informants killed ladies target rogue agent responsible,action adventure comedy,robbery secret identity secret agent
prometheus,team explorers discover clue origins mankind earth leading journey darkest corners universe fight terrifying battle save future human race,science fiction adventure mystery,android dystopia alien spin creation emergency surgery aftercreditsstinger stasis archeological dig god complex cave drawing genetic mutation origins life
stuart little 2,stuart adorable white mouse lives happily adoptive family littles east manhattans central park crazy mouse adventures store stuart human brother george mischievous cat snowbell set rescue friend,family adventure animation comedy,mouse falcon bird friendship family
elysium,2159 classes people exist wealthy live pristine manmade space station called elysium rest live overpopulated ruined earth secretary rhodes jodie foster hard line government ofï¬cial stop enforce antiimmigration laws preserve luxurious lifestyle citizens elysium doesnât stop people earth trying means unlucky max matt damon corner agrees daunting mission successful save life bring equality polarized worlds,science fiction action drama thriller,dystopia space station class conflict
the chronicles of riddick,outrunning ruthless bounty hunters escaped convict riddick suddenly caught opposing forces fight future human race waging incredible battles fantastic deadly worlds lone reluctant hero emerge humanitys champion hope universe edge annihilation,action science fiction,prison dystopia matter life death outer space intergalactic travel
robocop,robocop 2028 multinational conglomerate omnicorp center robot technology overseas drones military forbidden law enforcement america omnicorp bring controversial technology home front golden opportunity alex murphy â loving husband father cop doing stem tide crime corruption detroit â critically injured omnicorp chance build partman partrobot police officer omnicorp envisions robocop city billions shareholders counted inside machine,action science fiction,cyborg future dystopia police remake violence detroit
speed racer,speed racer tale brilliant racing driver corruption racing leagues costs brother life team police mysterious racer bring corruption criminal activities inspired cartoon series,action family science fiction,car race loss brother chimp family duringcreditsstinger woman director
how do you know,cut usa softball team feeling bit past prime lisa evaluating life middle love triangle corporate guy crisis competes current baseballplaying beau,comedy drama romance,love triangle baseball athlete aftercreditsstinger
knight and day,fugitive couple goes glamorous sometimes deadly adventure â themselves â amid shifting alliances unexpected betrayals race globe survival ultimately hinging battle truth vs trust,action comedy,spy airport gas station garage pilot chase secret agent rope exploding building car chase police car boy genius duringcreditsstinger
oblivion,jack harper drone repairmen stationed earth massive operation extract vital resources decades war terrifying threat scavs jackâs mission nearly complete existence brought crashing rescues beautiful stranger spacecraft arrival triggers chain events forces question fate humanity hands,action science fiction adventure mystery,spacecraft dystopia space drone imax human vs alien
star wars: episode iii - revenge of the sith,onset clone wars noble jedi knights lead massive clone army galaxywide battle separatists sinister sith unveil thousandyearold plot rule galaxy republic crumbles ashes rises evil galactic empire jedi hero anakin skywalker seduced dark force emperors apprentice â darth vader jedi decimated obiwan kenobi jedi master yoda forced hiding hope galaxy anakins own offspring â twin children born secrecy grow heroes,science fiction adventure action,showdown death star vision cult figure hatred dream sequence expectant mother space opera chancel childbirth galactic war
star wars: episode ii - attack of the clones,ten invasion naboo galaxy brink civil war leadership renegade jedi named count dooku thousands solar systems threaten break galactic republic assassination attempt senator padmã© amidala former queen naboo twentyyearold jedi apprentice anakin skywalker assigned protect course mission anakin discovers love padmã© own darker soon anakin padmã© obiwan kenobi drawn heart separatist movement beginning clone wars,adventure action science fiction,senate investigation army death star jedi cult figure wedding violence kendo laser gun space opera spaceport teenage rebellion becoming evil alien race mechanical hand yoda
"monsters, inc.",james sullivan mike wazowski monsters earn living scaring children business theyre afraid children child accidentally enters world james mike suddenly kids afraid uncover conspiracy threaten children world,animation comedy family,monster infant energy supply company rivalry hijinks friend scream conveyor belt energy company friend
the wolverine,wolverine ultimate nemesis tests physical emotional mortal limits lifechanging voyage modernday japan,action science fiction adventure fantasy,japan samurai mutant world war marvel comic superhero based comic book superhuman duringcreditsstinger
star wars: episode i - the phantom menace,anakin skywalker slave strong force discovered tatooine meanwhile evil sith returned enacting plot revenge jedi,adventure action science fiction,prophecy senate queen taskmaster galaxy apprentice taxes space opera
the croods,croods prehistoric comedy adventure follows worlds family embark journey lifetime cave shielded danger destroyed traveling spectacular landscape croods discover incredible world filled fantastic creatures outlook changed forever,adventure animation comedy family fantasy,stone age daughter father prehistoric ancient world father daughter relationship family cavemen aftercreditsstinger duringcreditsstinger
ast�rix aux jeux olympiques,astã©rix obã©lix win olympic games help friend alafolix marry princess irina portrayed supermodel vanessa hessler brutus benoã®t poelvoorde trick book own team win game rid father julius caesar alain delon process,fantasy adventure comedy family,competition greece colosseum olympic games emperor magic horse roman wild boar governance galier
windtalkers,joe enders gungho marine assigned protect windtalker navajo indians relay messages world war ii spoken language indecipherable japanese code breakers,drama action history war,japan world war ii radio transmission marine corps army code navajo pacific war
the huntsman: winter's war,evil sisters prepare conquer land renegadesâeric huntsman aided snow white defeating ravenna snowwhite huntsman forbidden lover saraâset stop,action adventure drama,witch magic fairy tale snow white huntsman
